0.54 	 0.74
0.58 	 0.73
0.54 	 0.59
0.54 	 0.53
0.54 	 0.58
0.58 	 0.10
0.62 	 0.57
0.67 	 0.66
0.71 	 0.44
0.75 	 0.51
0.79 	 0.49
0.83 	 0.08
0.88 	 0.02
0.92 	 0.10
0.96 	 0.18
0.54 	 0.46
0.58 	 0.48
0.62 	 0.49
0.67 	 0.39
0.71 	 0.35
0.75 	 0.35
0.79 	 0.47
0.83 	 0.22
0.88 	 0.11
0.92 	 0.03
0.96 	 0.01
0.54 	 0.56
0.58 	 0.63
0.62 	 0.65
0.67 	 0.75
0.71 	 0.74
0.75 	 0.57
0.79 	 0.74
0.83 	 0.34
0.88 	 0.65
0.92 	 0.48
0.96 	 0.41
0.96 	 0.22
0.54 	 1.00
0.58 	 1.00
0.54 	 1.00
0.58 	 1.00
0.54 	 0.41
0.58 	 0.29
0.62 	 0.22
0.67 	 0.48
0.71 	 0.63
0.75 	 0.55
0.79 	 0.10
0.83 	 0.19
0.88 	 0.39
0.92 	 0.02
0.96 	 0.00
0.54 	 0.48
0.58 	 0.16
0.62 	 0.39
0.67 	 0.53
0.71 	 0.09
0.75 	 0.21
0.79 	 0.08
0.83 	 0.35
0.88 	 0.13
0.92 	 0.00
0.96 	 0.02
0.54 	 0.53
0.58 	 0.36
0.62 	 0.10
0.67 	 0.35
0.71 	 0.18
0.75 	 0.37
0.92 	 0.08
0.96 	 0.08
0.56 	 0.51
0.61 	 0.77
0.67 	 0.51
0.72 	 0.50
0.78 	 0.62
0.83 	 0.19
0.89 	 0.12
0.94 	 0.00
0.54 	 0.52
0.58 	 0.41
0.96 	 0.02
